sample_id,seed,f1_norm,f2_norm,f3_norm,f4_norm,f1_vol,f2_vol,f3_vol,f4_vol,f_Al_vol,kappa,E,rho,delta_alpha,delta_T
0,42,0.360573201542,0.364397480089,0.025010755223,0.250018563146,0.072114640308,0.072879496018,0.005002151045,0.050003712629,0.800000000000,131.888253935176,79.463853934804,2.711647604492,0.106382564255,37.412036849480
1,42,0.589760654793,0.215480080282,0.086938832629,0.107820432295,0.117952130959,0.043096016056,0.017387766526,0.021564086459,0.800000000000,129.579938331781,81.284483928471,2.681914979841,0.661274644591,6.719253110055
2,42,0.093695239862,0.397981270950,0.369357835659,0.138965653529,0.018739047972,0.079596254190,0.073871567132,0.027793130706,0.800000000000,137.444580023733,79.134637930325,2.780068362349,0.631358354360,73.152333477736
3,42,0.220164772802,0.368825061835,0.190569543322,0.220440622041,0.044032954560,0.073765012367,0.038113908664,0.044088124408,0.800000000000,135.257697788424,79.193806826680,2.755249202277,0.420045373438,56.215533626367
4,42,0.184771016706,0.042786927793,0.155479499812,0.616962555689,0.036954203341,0.008557385559,0.031095899962,0.123392511138,0.800000000000,146.741734004109,78.226854773556,2.929420087658,0.968037415729,60.955465442704
5,42,0.620072699363,0.015023658006,0.343955722479,0.020947920153,0.124014539873,0.003004731601,0.068791144496,0.004189584031,0.800000000000,133.887639149198,82.441625861980,2.744841652627,0.841638116698,2.659864101352
6,42,0.378534377208,0.157693714246,0.026884236021,0.436887672525,0.075706875442,0.031538742849,0.005376847204,0.087377534505,0.800000000000,137.710612803139,79.277054621800,2.803171839853,0.282680416936,35.006676204257
7,42,0.127219690958,0.045824383656,0.295428163785,0.531527761601,0.025443938192,0.009164876731,0.059085632757,0.106305552320,0.800000000000,147.897380076762,78.466185853410,2.940937772540,0.995330031160,68.662738986883
8,42,0.380126225039,0.475191495976,0.011165945740,0.133516333245,0.076025245008,0.095038299195,0.002233189148,0.026703266649,0.800000000000,128.040418217376,79.726100818337,2.651361791756,0.087671580724,34.793495942755
9,42,0.192616603071,0.329824825622,0.314904474150,0.162654097156,0.038523320614,0.065964965124,0.062980894830,0.032530819431,0.800000000000,136.831194713338,79.521139034023,2.775592752479,0.406574051521,59.904784516673
10,42,0.217449286700,0.244810925151,0.465860122970,0.071879665179,0.043489857340,0.048962185030,0.093172024594,0.014375933036,0.800000000000,138.199338077465,80.306439756247,2.793893245676,0.216216806618,56.579191525178
11,42,0.066852008644,0.157148079810,0.684614250990,0.091385660556,0.013370401729,0.031429615962,0.136922850198,0.018277132111,0.800000000000,144.710881401139,80.066787302350,2.881721937982,0.593596833671,76.747179002454
12,42,0.086863875814,0.334976181811,0.066188605212,0.511971337163,0.017372775163,0.066995236362,0.013237721042,0.102394267433,0.800000000000,140.714848910707,77.515110811903,2.837433516472,1.134926714153,74.067189750928
13,42,0.063219951527,0.085452410259,0.395631901061,0.455695737153,0.012643990305,0.017090482052,0.079126380212,0.091139147431,0.800000000000,148.214939784305,78.523133207655,2.940779911349,1.058422800567,77.233584091540
14,42,0.538977289667,0.206011692424,0.002024829561,0.252986188348,0.107795457933,0.041202338485,0.000404965912,0.050597237670,0.800000000000,131.620661622110,80.466766048321,2.714581939611,0.348857888261,13.520161367756
15,42,0.223664698823,0.635329334276,0.138331744891,0.002674222011,0.044732939765,0.127065866855,0.027666348978,0.000534844402,0.800000000000,127.270807783384,79.398480617632,2.630036206451,0.154092208385,55.746823533657
16,42,0.007140682374,0.152841319348,0.701120907944,0.138897090333,0.001428136475,0.030568263870,0.140224181589,0.027779418067,0.800000000000,146.619162275993,79.680283905179,2.907547407480,0.796581835647,84.743719816449
17,42,0.083282576110,0.384767311675,0.404111571639,0.127838540576,0.016656515222,0.076953462335,0.080822314328,0.025567708115,0.800000000000,138.040044034981,79.201562388609,2.788004082699,0.640049459625,74.546797407325
